carrier,airport,scheduled_departure,actual_departure,delay,date,day,month
Air Canada,YWG,2025-11-04T09:50:00Z,2025-11-04T10:04:00Z,14,2025-11-04,4,Nov
Jazz Aviation,YYC,2025-11-02T13:50:00Z,2025-11-02T14:07:00Z,17,2025-11-02,2,Nov
Air Canada,YXE,2025-11-09T10:20:00Z,2025-11-09T10:35:00Z,15,2025-11-09,9,Nov
Flair Airlines,YYZ,2025-11-15T10:55:00Z,2025-11-15T11:19:00Z,24,2025-11-15,15,Nov
Porter Airlines,YXE,2025-05-25T05:50:00Z,2025-05-25T05:55:00Z,5,2025-05-25,25,May
Flair Airlines,YQB,2025-08-19T01:35:00Z,2025-08-19T01:50:00Z,15,2025-08-19,19,Aug
WestJet,YWG,2025-10-23T09:55:00Z,2025-10-23T10:15:00Z,20,2025-10-23,23,Oct
WestJet,YQT,2025-03-12T03:55:00Z,2025-03-12T04:06:00Z,11,2025-03-12,12,Mar
Porter Airlines,YYZ,2025-10-02T08:15:00Z,2025-10-02T09:53:00Z,98,2025-10-02,2,Oct
Air Canada,YXE,2025-04-01T15:50:00Z,2025-04-01T15:55:00Z,5,2025-04-01,1,Apr
WestJet,YQB,2025-11-07T13:25:00Z,2025-11-07T13:39:00Z,14,2025-11-07,7,Nov
Porter Airlines,YEG,2025-10-05T09:50:00Z,2025-10-05T10:03:00Z,13,2025-10-05,5,Oct
WestJet,YOW,2025-03-14T23:05:00Z,2025-03-14T23:17:00Z,12,2025-03-14,14,Mar
Air Transat,YOW,2025-03-14T14:40:00Z,2025-03-14T15:30:00Z,50,2025-03-14,14,Mar
WestJet,YVR,2025-11-28T13:05:00Z,2025-11-28T13:43:00Z,38,2025-11-28,28,Nov
WestJet,YQB,2025-10-16T00:25:00Z,2025-10-16T00:43:00Z,18,2025-10-16,16,Oct
Air Canada,YOW,2025-08-12T17:30:00Z,2025-08-12T18:06:00Z,36,2025-08-12,12,Aug
Air Transat,YQB,2025-08-20T10:45:00Z,2025-08-20T10:59:00Z,14,2025-08-20,20,Aug
Canadian North,YVR,2025-10-14T17:45:00Z,2025-10-14T17:54:00Z,9,2025-10-14,14,Oct
WestJet,YVR,2025-04-26T11:05:00Z,2025-04-26T11:26:00Z,21,2025-04-26,26,Apr
Air Canada,YEG,2025-10-13T17:50:00Z,2025-10-13T18:28:00Z,38,2025-10-13,13,Oct
Air Canada,YYZ,2025-04-22T02:55:00Z,2025-04-22T03:03:00Z,8,2025-04-22,22,Apr
Porter Airlines,YYZ,2025-04-06T22:50:00Z,2025-04-06T22:58:00Z,8,2025-04-06,6,Apr
WestJet,YYC,2025-06-28T16:30:00Z,2025-06-28T16:39:00Z,9,2025-06-28,28,Jun
WestJet,YQR,2025-01-17T14:45:00Z,2025-01-17T15:06:00Z,21,2025-01-17,17,Jan
Air Canada,YVR,2025-05-12T06:35:00Z,2025-05-12T06:46:00Z,11,2025-05-12,12,May
Air Canada,YYZ,2025-01-16T11:35:00Z,2025-01-16T12:01:00Z,26,2025-01-16,16,Jan
WestJet,YXE,2025-04-28T08:00:00Z,2025-04-28T08:09:00Z,9,2025-04-28,28,Apr
Flair Airlines,YYT,2025-03-27T21:25:00Z,2025-03-27T21:35:00Z,10,2025-03-27,27,Mar
Air Transat,YQR,2025-05-21T14:40:00Z,2025-05-21T15:08:00Z,28,2025-05-21,21,May
Jazz Aviation,YYZ,2025-06-07T02:10:00Z,2025-06-07T02:30:00Z,20,2025-06-07,7,Jun
WestJet,YQT,2025-09-11T15:50:00Z,2025-09-11T16:14:00Z,24,2025-09-11,11,Sep
Porter Airlines,YYC,2025-10-19T19:20:00Z,2025-10-19T19:37:00Z,17,2025-10-19,19,Oct
WestJet,YEG,2025-08-15T07:15:00Z,2025-08-15T07:40:00Z,25,2025-08-15,15,Aug
Jazz Aviation,YUL,2025-07-17T17:45:00Z,2025-07-17T18:08:00Z,23,2025-07-17,17,Jul
Jazz Aviation,YQB,2025-11-24T08:00:00Z,2025-11-24T08:16:00Z,16,2025-11-24,24,Nov
WestJet,YEG,2025-09-14T11:05:00Z,2025-09-14T11:19:00Z,14,2025-09-14,14,Sep
Air Canada,YOW,2025-09-28T07:25:00Z,2025-09-28T08:34:00Z,69,2025-09-28,28,Sep
WestJet,YWG,2025-06-19T13:30:00Z,2025-06-19T13:43:00Z,13,2025-06-19,19,Jun
Flair Airlines,YQR,2025-02-24T13:50:00Z,2025-02-24T14:17:00Z,27,2025-02-24,24,Feb
WestJet,YUL,2025-05-24T04:35:00Z,2025-05-24T04:41:00Z,6,2025-05-24,24,May
Air Canada,YUL,2025-10-06T09:00:00Z,2025-10-06T09:14:00Z,14,2025-10-06,6,Oct
Jazz Aviation,YKF,2025-12-03T09:30:00Z,2025-12-03T09:59:00Z,29,2025-12-03,3,Dec
Air Canada,YYC,2025-10-30T15:20:00Z,2025-10-30T15:35:00Z,15,2025-10-30,30,Oct
Air Canada,YWG,2025-12-26T14:30:00Z,2025-12-26T14:43:00Z,13,2025-12-26,26,Dec
PAL Airlines,YQB,2025-03-16T02:00:00Z,2025-03-16T02:35:00Z,35,2025-03-16,16,Mar
Canadian North,YYT,2025-11-14T09:05:00Z,2025-11-14T09:27:00Z,22,2025-11-14,14,Nov
Canadian North,YQR,2025-02-08T09:00:00Z,2025-02-08T09:58:00Z,58,2025-02-08,8,Feb
WestJet,YOW,2025-10-04T09:10:00Z,2025-10-04T09:43:00Z,33,2025-10-04,4,Oct
Porter Airlines,YYT,2025-10-28T14:50:00Z,2025-10-28T15:13:00Z,23,2025-10-28,28,Oct
Flair Airlines,YKF,2025-08-23T16:35:00Z,2025-08-23T16:53:00Z,18,2025-08-23,23,Aug
Porter Airlines,YYT,2025-05-30T15:05:00Z,2025-05-30T15:23:00Z,18,2025-05-30,30,May
Air Canada,YVR,2025-10-08T08:05:00Z,2025-10-08T08:12:00Z,7,2025-10-08,8,Oct
WestJet,YQR,2025-11-27T15:40:00Z,2025-11-27T16:12:00Z,32,2025-11-27,27,Nov
WestJet,YYC,2025-05-28T16:15:00Z,2025-05-28T16:35:00Z,20,2025-05-28,28,May
Porter Airlines,YYZ,2025-12-02T18:55:00Z,2025-12-02T19:28:00Z,33,2025-12-02,2,Dec
Air Canada,YYC,2025-11-26T10:05:00Z,2025-11-26T10:21:00Z,16,2025-11-26,26,Nov
Porter Airlines,YYC,2025-02-08T12:25:00Z,2025-02-08T13:00:00Z,35,2025-02-08,8,Feb
WestJet,YVR,2025-10-21T08:20:00Z,2025-10-21T08:26:00Z,6,2025-10-21,21,Oct
Flair Airlines,YQT,2025-06-09T06:00:00Z,2025-06-09T06:16:00Z,16,2025-06-09,9,Jun
Porter Airlines,YVR,2025-10-22T11:05:00Z,2025-10-22T11:20:00Z,15,2025-10-22,22,Oct
Air Canada,YVR,2025-07-29T15:20:00Z,2025-07-29T15:52:00Z,32,2025-07-29,29,Jul
Porter Airlines,YHZ,2025-12-14T16:55:00Z,2025-12-14T17:25:00Z,30,2025-12-14,14,Dec
Air Canada,YYZ,2025-12-12T11:00:00Z,2025-12-12T11:42:00Z,42,2025-12-12,12,Dec
Flair Airlines,YYT,2025-09-14T21:45:00Z,2025-09-14T22:39:00Z,54,2025-09-14,14,Sep
Flair Airlines,YVR,2025-06-16T13:10:00Z,2025-06-16T13:30:00Z,20,2025-06-16,16,Jun
Air Canada,YQB,2025-09-02T12:55:00Z,2025-09-02T13:00:00Z,5,2025-09-02,2,Sep
WestJet,YQB,2025-08-08T15:40:00Z,2025-08-08T16:01:00Z,21,2025-08-08,8,Aug
Jazz Aviation,YEG,2025-03-24T09:40:00Z,2025-03-24T09:52:00Z,12,2025-03-24,24,Mar
Flair Airlines,YYZ,2025-12-29T02:45:00Z,2025-12-29T03:09:00Z,24,2025-12-29,29,Dec
WestJet,YWG,2025-05-22T19:30:00Z,2025-05-22T19:34:00Z,4,2025-05-22,22,May
Jazz Aviation,YYC,2025-05-08T09:50:00Z,2025-05-08T09:56:00Z,6,2025-05-08,8,May
Porter Airlines,YQR,2025-07-21T10:00:00Z,2025-07-21T10:05:00Z,5,2025-07-21,21,Jul
Air Transat,YEG,2025-09-10T09:00:00Z,2025-09-10T09:07:00Z,7,2025-09-10,10,Sep
WestJet,YYZ,2025-07-31T14:50:00Z,2025-07-31T15:24:00Z,34,2025-07-31,31,Jul
Air Canada,YQB,2025-03-31T04:20:00Z,2025-03-31T04:52:00Z,32,2025-03-31,31,Mar
Air Canada,YYZ,2025-07-26T16:40:00Z,2025-07-26T17:00:00Z,20,2025-07-26,26,Jul
Canadian North,YVR,2025-02-28T09:00:00Z,2025-02-28T09:17:00Z,17,2025-02-28,28,Feb
Air Transat,YOW,2025-11-04T11:05:00Z,2025-11-04T11:32:00Z,27,2025-11-04,4,Nov
WestJet,YYT,2025-04-12T15:15:00Z,2025-04-12T15:21:00Z,6,2025-04-12,12,Apr
Air Canada,YVR,2025-08-05T13:50:00Z,2025-08-05T14:02:00Z,12,2025-08-05,5,Aug
Air Canada,YYC,2025-08-17T12:50:00Z,2025-08-17T13:07:00Z,17,2025-08-17,17,Aug
WestJet,YUL,2025-10-26T12:40:00Z,2025-10-26T13:16:00Z,36,2025-10-26,26,Oct
Air Transat,YEG,2025-09-29T07:40:00Z,2025-09-29T07:55:00Z,15,2025-09-29,29,Sep
Air Canada,YQB,2025-04-02T11:00:00Z,2025-04-02T11:04:00Z,4,2025-04-02,2,Apr
Air Canada,YVR,2025-03-19T10:05:00Z,2025-03-19T10:22:00Z,17,2025-03-19,19,Mar
Flair Airlines,YYT,2025-03-30T16:50:00Z,2025-03-30T17:00:00Z,10,2025-03-30,30,Mar
Porter Airlines,YQT,2025-04-10T08:50:00Z,2025-04-10T08:59:00Z,9,2025-04-10,10,Apr
Porter Airlines,YHZ,2025-01-05T17:45:00Z,2025-01-05T18:19:00Z,34,2025-01-05,5,Jan
Air Canada,YVR,2025-12-11T02:40:00Z,2025-12-11T02:58:00Z,18,2025-12-11,11,Dec
Air Canada,YUL,2025-05-15T17:40:00Z,2025-05-15T17:53:00Z,13,2025-05-15,15,May
Air Canada,YYZ,2025-01-16T08:55:00Z,2025-01-16T09:29:00Z,34,2025-01-16,16,Jan
Air Transat,YEG,2025-12-13T12:20:00Z,2025-12-13T12:34:00Z,14,2025-12-13,13,Dec
WestJet,YHZ,2025-03-20T12:30:00Z,2025-03-20T12:47:00Z,17,2025-03-20,20,Mar
WestJet,YEG,2025-01-25T14:50:00Z,2025-01-25T15:07:00Z,17,2025-01-25,25,Jan
WestJet,YHZ,2025-07-21T00:10:00Z,2025-07-21T00:23:00Z,13,2025-07-21,21,Jul
Porter Airlines,YUL,2025-10-12T13:10:00Z,2025-10-12T13:18:00Z,8,2025-10-12,12,Oct
Flair Airlines,YWG,2025-07-22T16:50:00Z,2025-07-22T17:02:00Z,12,2025-07-22,22,Jul
PAL Airlines,YOW,2025-10-02T21:45:00Z,2025-10-02T21:53:00Z,8,2025-10-02,2,Oct
Porter Airlines,YYZ,2025-08-24T14:45:00Z,2025-08-24T14:54:00Z,9,2025-08-24,24,Aug
WestJet,YYZ,2025-04-26T09:50:00Z,2025-04-26T10:19:00Z,29,2025-04-26,26,Apr
Canadian North,YQB,2025-06-22T06:10:00Z,2025-06-22T06:38:00Z,28,2025-06-22,22,Jun
Canadian North,YQR,2025-02-15T14:05:00Z,2025-02-15T14:39:00Z,34,2025-02-15,15,Feb
Flair Airlines,YYZ,2025-05-07T10:55:00Z,2025-05-07T11:16:00Z,21,2025-05-07,7,May
Flair Airlines,YEG,2025-05-23T09:35:00Z,2025-05-23T09:48:00Z,13,2025-05-23,23,May
Porter Airlines,YWG,2025-03-04T13:50:00Z,2025-03-04T13:55:00Z,5,2025-03-04,4,Mar
Air Canada,YYZ,2025-01-04T10:30:00Z,2025-01-04T10:46:00Z,16,2025-01-04,4,Jan
PAL Airlines,YHZ,2025-12-28T08:15:00Z,2025-12-28T08:31:00Z,16,2025-12-28,28,Dec
WestJet,YOW,2025-04-11T17:35:00Z,2025-04-11T17:48:00Z,13,2025-04-11,11,Apr
WestJet,YYZ,2025-06-17T04:40:00Z,2025-06-17T05:00:00Z,20,2025-06-17,17,Jun
PAL Airlines,YQR,2025-07-03T11:25:00Z,2025-07-03T11:56:00Z,31,2025-07-03,3,Jul
Porter Airlines,YYT,2025-12-31T10:45:00Z,2025-12-31T11:29:00Z,44,2025-12-31,31,Dec
WestJet,YXE,2025-07-11T14:00:00Z,2025-07-11T14:10:00Z,10,2025-07-11,11,Jul
Air Canada,YEG,2025-08-29T19:50:00Z,2025-08-29T20:10:00Z,20,2025-08-29,29,Aug
Porter Airlines,YQB,2025-01-26T10:05:00Z,2025-01-26T10:32:00Z,27,2025-01-26,26,Jan
Porter Airlines,YQR,2025-07-16T15:05:00Z,2025-07-16T15:29:00Z,24,2025-07-16,16,Jul
WestJet,YVR,2025-06-15T01:00:00Z,2025-06-15T01:30:00Z,30,2025-06-15,15,Jun
WestJet,YHZ,2025-01-14T13:00:00Z,2025-01-14T13:22:00Z,22,2025-01-14,14,Jan
Air Canada,YHZ,2025-04-11T06:05:00Z,2025-04-11T06:36:00Z,31,2025-04-11,11,Apr
WestJet,YYZ,2025-06-18T06:00:00Z,2025-06-18T06:10:00Z,10,2025-06-18,18,Jun
Jazz Aviation,YWG,2025-02-03T23:00:00Z,2025-02-03T23:33:00Z,33,2025-02-03,3,Feb
WestJet,YVR,2025-06-27T23:10:00Z,2025-06-27T23:22:00Z,12,2025-06-27,27,Jun
Air Canada,YYZ,2025-07-02T20:15:00Z,2025-07-02T20:26:00Z,11,2025-07-02,2,Jul
Air Canada,YHZ,2025-09-25T16:20:00Z,2025-09-25T16:33:00Z,13,2025-09-25,25,Sep
Jazz Aviation,YVR,2025-03-18T04:30:00Z,2025-03-18T04:41:00Z,11,2025-03-18,18,Mar
Air Canada,YKF,2025-06-17T10:40:00Z,2025-06-17T10:47:00Z,7,2025-06-17,17,Jun
Air Transat,YYZ,2025-06-21T15:50:00Z,2025-06-21T16:30:00Z,40,2025-06-21,21,Jun
Porter Airlines,YVR,2025-03-03T05:45:00Z,2025-03-03T06:31:00Z,46,2025-03-03,3,Mar
WestJet,YVR,2025-10-04T08:30:00Z,2025-10-04T08:55:00Z,25,2025-10-04,4,Oct
PAL Airlines,YWG,2025-09-02T19:20:00Z,2025-09-02T19:32:00Z,12,2025-09-02,2,Sep
Air Transat,YUL,2025-11-13T18:55:00Z,2025-11-13T19:22:00Z,27,2025-11-13,13,Nov
PAL Airlines,YQR,2025-07-29T18:40:00Z,2025-07-29T18:50:00Z,10,2025-07-29,29,Jul
Porter Airlines,YYC,2025-04-29T21:35:00Z,2025-04-29T21:54:00Z,19,2025-04-29,29,Apr
PAL Airlines,YYZ,2025-07-01T16:20:00Z,2025-07-01T16:33:00Z,13,2025-07-01,1,Jul
Porter Airlines,YUL,2025-07-02T16:45:00Z,2025-07-02T17:07:00Z,22,2025-07-02,2,Jul
Jazz Aviation,YYC,2025-01-13T11:35:00Z,2025-01-13T12:10:00Z,35,2025-01-13,13,Jan
Porter Airlines,YUL,2025-02-27T09:45:00Z,2025-02-27T09:58:00Z,13,2025-02-27,27,Feb
Air Transat,YVR,2025-12-27T07:50:00Z,2025-12-27T08:27:00Z,37,2025-12-27,27,Dec
Air Canada,YOW,2025-05-15T15:35:00Z,2025-05-15T15:45:00Z,10,2025-05-15,15,May
Flair Airlines,YVR,2025-07-07T01:25:00Z,2025-07-07T02:17:00Z,52,2025-07-07,7,Jul
Air Canada,YYC,2025-03-24T12:15:00Z,2025-03-24T12:31:00Z,16,2025-03-24,24,Mar
Air Canada,YUL,2025-07-26T07:25:00Z,2025-07-26T07:52:00Z,27,2025-07-26,26,Jul
Canadian North,YXE,2025-09-30T12:20:00Z,2025-09-30T12:51:00Z,31,2025-09-30,30,Sep
Air Canada,YEG,2025-08-16T12:55:00Z,2025-08-16T13:07:00Z,12,2025-08-16,16,Aug
WestJet,YVR,2025-01-24T15:10:00Z,2025-01-24T15:33:00Z,23,2025-01-24,24,Jan
Air Canada,YYC,2025-11-01T13:05:00Z,2025-11-01T13:37:00Z,32,2025-11-01,1,Nov
Air Canada,YYC,2025-11-18T10:15:00Z,2025-11-18T10:31:00Z,16,2025-11-18,18,Nov
Air Transat,YUL,2025-11-28T10:05:00Z,2025-11-28T10:14:00Z,9,2025-11-28,28,Nov
PAL Airlines,YUL,2025-02-28T10:40:00Z,2025-02-28T11:11:00Z,31,2025-02-28,28,Feb
Air Transat,YVR,2025-04-02T19:15:00Z,2025-04-02T19:34:00Z,19,2025-04-02,2,Apr
Porter Airlines,YYZ,2025-07-09T17:25:00Z,2025-07-09T17:40:00Z,15,2025-07-09,9,Jul
Porter Airlines,YOW,2025-05-25T19:35:00Z,2025-05-25T19:58:00Z,23,2025-05-25,25,May
Porter Airlines,YQR,2025-03-15T07:00:00Z,2025-03-15T07:19:00Z,19,2025-03-15,15,Mar
Porter Airlines,YUL,2025-11-04T10:30:00Z,2025-11-04T10:40:00Z,10,2025-11-04,4,Nov
WestJet,YUL,2025-09-03T14:45:00Z,2025-09-03T15:29:00Z,44,2025-09-03,3,Sep
PAL Airlines,YOW,2025-11-14T09:35:00Z,2025-11-14T09:57:00Z,22,2025-11-14,14,Nov
Flair Airlines,YEG,2025-03-03T07:00:00Z,2025-03-03T07:09:00Z,9,2025-03-03,3,Mar
WestJet,YYC,2025-07-23T20:05:00Z,2025-07-23T20:16:00Z,11,2025-07-23,23,Jul
Air Canada,YYC,2025-11-07T09:30:00Z,2025-11-07T10:00:00Z,30,2025-11-07,7,Nov
Canadian North,YVR,2025-07-22T13:45:00Z,2025-07-22T14:09:00Z,24,2025-07-22,22,Jul
Air Canada,YVR,2025-12-21T11:10:00Z,2025-12-21T11:28:00Z,18,2025-12-21,21,Dec
PAL Airlines,YOW,2025-04-13T06:40:00Z,2025-04-13T07:11:00Z,31,2025-04-13,13,Apr
Air Canada,YXE,2025-05-23T00:00:00Z,2025-05-23T00:07:00Z,7,2025-05-23,23,May
WestJet,YYZ,2025-11-27T09:05:00Z,2025-11-27T09:24:00Z,19,2025-11-27,27,Nov
Air Canada,YYT,2025-12-26T09:10:00Z,2025-12-26T09:58:00Z,48,2025-12-26,26,Dec
Air Transat,YHZ,2025-08-27T07:25:00Z,2025-08-27T07:41:00Z,16,2025-08-27,27,Aug
Porter Airlines,YWG,2025-08-18T18:00:00Z,2025-08-18T18:06:00Z,6,2025-08-18,18,Aug
Jazz Aviation,YOW,2025-01-26T20:50:00Z,2025-01-26T21:27:00Z,37,2025-01-26,26,Jan
PAL Airlines,YOW,2025-07-13T12:35:00Z,2025-07-13T12:57:00Z,22,2025-07-13,13,Jul
Jazz Aviation,YQT,2025-06-05T00:05:00Z,2025-06-05T00:13:00Z,8,2025-06-05,5,Jun
Flair Airlines,YYZ,2025-07-11T14:50:00Z,2025-07-11T15:04:00Z,14,2025-07-11,11,Jul
Air Canada,YVR,2025-06-18T18:50:00Z,2025-06-18T19:01:00Z,11,2025-06-18,18,Jun
WestJet,YUL,2025-12-17T09:15:00Z,2025-12-17T09:49:00Z,34,2025-12-17,17,Dec
Canadian North,YUL,2025-11-06T06:35:00Z,2025-11-06T07:02:00Z,27,2025-11-06,6,Nov
WestJet,YUL,2025-04-04T16:35:00Z,2025-04-04T16:57:00Z,22,2025-04-04,4,Apr
Air Canada,YVR,2025-06-06T18:30:00Z,2025-06-06T18:59:00Z,29,2025-06-06,6,Jun
WestJet,YUL,2025-11-18T11:20:00Z,2025-11-18T11:38:00Z,18,2025-11-18,18,Nov
Air Transat,YVR,2025-10-26T08:10:00Z,2025-10-26T08:22:00Z,12,2025-10-26,26,Oct
Air Canada,YQT,2025-08-29T07:40:00Z,2025-08-29T08:08:00Z,28,2025-08-29,29,Aug
Flair Airlines,YXE,2025-02-16T15:40:00Z,2025-02-16T16:04:00Z,24,2025-02-16,16,Feb
Canadian North,YQB,2025-10-16T18:15:00Z,2025-10-16T18:27:00Z,12,2025-10-16,16,Oct
Porter Airlines,YVR,2025-01-10T03:00:00Z,2025-01-10T03:25:00Z,25,2025-01-10,10,Jan
Porter Airlines,YWG,2025-01-31T07:20:00Z,2025-01-31T08:50:00Z,90,2025-01-31,31,Jan
Air Transat,YUL,2025-10-19T07:55:00Z,2025-10-19T08:12:00Z,17,2025-10-19,19,Oct
Air Canada,YYC,2025-10-30T01:55:00Z,2025-10-30T02:32:00Z,37,2025-10-30,30,Oct
Air Canada,YEG,2025-08-16T16:30:00Z,2025-08-16T17:13:00Z,43,2025-08-16,16,Aug
Air Canada,YVR,2025-12-10T11:30:00Z,2025-12-10T12:09:00Z,39,2025-12-10,10,Dec
Jazz Aviation,YYC,2025-06-28T11:35:00Z,2025-06-28T12:03:00Z,28,2025-06-28,28,Jun
Air Transat,YHZ,2025-11-26T08:00:00Z,2025-11-26T08:09:00Z,9,2025-11-26,26,Nov
Flair Airlines,YUL,2025-03-02T06:10:00Z,2025-03-02T06:30:00Z,20,2025-03-02,2,Mar
Porter Airlines,YYZ,2025-10-21T14:35:00Z,2025-10-21T14:41:00Z,6,2025-10-21,21,Oct
Porter Airlines,YUL,2025-09-04T17:00:00Z,2025-09-04T17:10:00Z,10,2025-09-04,4,Sep
WestJet,YYZ,2025-06-02T16:35:00Z,2025-06-02T16:45:00Z,10,2025-06-02,2,Jun
Flair Airlines,YYC,2025-03-01T19:30:00Z,2025-03-01T19:44:00Z,14,2025-03-01,1,Mar
Air Transat,YYZ,2025-03-30T07:35:00Z,2025-03-30T07:54:00Z,19,2025-03-30,30,Mar
Porter Airlines,YYC,2025-04-12T16:40:00Z,2025-04-12T17:15:00Z,35,2025-04-12,12,Apr
Canadian North,YHZ,2025-07-17T13:45:00Z,2025-07-17T14:23:00Z,38,2025-07-17,17,Jul
Air Transat,YQT,2025-09-28T13:20:00Z,2025-09-28T13:26:00Z,6,2025-09-28,28,Sep
WestJet,YWG,2025-04-09T07:55:00Z,2025-04-09T08:07:00Z,12,2025-04-09,9,Apr
Air Canada,YKF,2025-08-16T15:15:00Z,2025-08-16T15:28:00Z,13,2025-08-16,16,Aug
WestJet,YYZ,2025-12-08T14:05:00Z,2025-12-08T14:21:00Z,16,2025-12-08,8,Dec
PAL Airlines,YVR,2025-11-07T14:20:00Z,2025-11-07T14:44:00Z,24,2025-11-07,7,Nov
PAL Airlines,YEG,2025-05-28T05:10:00Z,2025-05-28T05:44:00Z,34,2025-05-28,28,May
Porter Airlines,YOW,2025-10-06T10:45:00Z,2025-10-06T10:58:00Z,13,2025-10-06,6,Oct
Flair Airlines,YOW,2025-12-11T08:00:00Z,2025-12-11T08:47:00Z,47,2025-12-11,11,Dec
Air Canada,YYT,2025-08-24T05:00:00Z,2025-08-24T05:29:00Z,29,2025-08-24,24,Aug
WestJet,YVR,2025-03-27T09:30:00Z,2025-03-27T09:37:00Z,7,2025-03-27,27,Mar
Porter Airlines,YYC,2025-06-05T21:50:00Z,2025-06-05T22:10:00Z,20,2025-06-05,5,Jun
Jazz Aviation,YEG,2025-12-23T15:20:00Z,2025-12-23T15:36:00Z,16,2025-12-23,23,Dec
Air Canada,YUL,2025-12-06T16:25:00Z,2025-12-06T16:40:00Z,15,2025-12-06,6,Dec
Porter Airlines,YXX,2025-05-20T11:10:00Z,2025-05-20T11:43:00Z,33,2025-05-20,20,May
Air Canada,YEG,2025-08-28T06:25:00Z,2025-08-28T06:33:00Z,8,2025-08-28,28,Aug
Air Canada,YVR,2025-07-20T14:30:00Z,2025-07-20T14:59:00Z,29,2025-07-20,20,Jul
Canadian North,YQB,2025-12-09T23:50:00Z,2025-12-10T00:14:00Z,24,2025-12-09,9,Dec
Air Transat,YOW,2025-03-17T03:00:00Z,2025-03-17T03:06:00Z,6,2025-03-17,17,Mar
Jazz Aviation,YYZ,2025-03-28T04:50:00Z,2025-03-28T04:58:00Z,8,2025-03-28,28,Mar
Jazz Aviation,YVR,2025-05-22T15:55:00Z,2025-05-22T16:24:00Z,29,2025-05-22,22,May
Flair Airlines,YXE,2025-09-24T13:50:00Z,2025-09-24T14:06:00Z,16,2025-09-24,24,Sep
Flair Airlines,YYZ,2025-04-18T16:05:00Z,2025-04-18T16:24:00Z,19,2025-04-18,18,Apr
WestJet,YOW,2025-01-03T10:40:00Z,2025-01-03T11:01:00Z,21,2025-01-03,3,Jan
Porter Airlines,YHZ,2025-12-04T06:05:00Z,2025-12-04T06:25:00Z,20,2025-12-04,4,Dec
Air Canada,YYZ,2025-01-08T08:25:00Z,2025-01-08T08:51:00Z,26,2025-01-08,8,Jan
PAL Airlines,YVR,2025-05-20T16:55:00Z,2025-05-20T17:13:00Z,18,2025-05-20,20,May
Air Canada,YVR,2025-06-14T17:20:00Z,2025-06-14T17:39:00Z,19,2025-06-14,14,Jun
WestJet,YHZ,2025-07-12T06:25:00Z,2025-07-12T06:33:00Z,8,2025-07-12,12,Jul
Flair Airlines,YQB,2025-01-27T20:45:00Z,2025-01-27T21:03:00Z,18,2025-01-27,27,Jan
Air Canada,YHZ,2025-09-10T14:50:00Z,2025-09-10T15:05:00Z,15,2025-09-10,10,Sep
Air Transat,YWG,2025-03-08T13:15:00Z,2025-03-08T13:23:00Z,8,2025-03-08,8,Mar
Air Canada,YYZ,2025-05-16T12:35:00Z,2025-05-16T12:43:00Z,8,2025-05-16,16,May
Air Canada,YHZ,2025-09-19T18:00:00Z,2025-09-19T18:24:00Z,24,2025-09-19,19,Sep
Jazz Aviation,YVR,2025-09-18T10:35:00Z,2025-09-18T10:42:00Z,7,2025-09-18,18,Sep
Porter Airlines,YHZ,2025-10-18T12:15:00Z,2025-10-18T12:22:00Z,7,2025-10-18,18,Oct
WestJet,YOW,2025-08-07T03:15:00Z,2025-08-07T03:30:00Z,15,2025-08-07,7,Aug
Air Transat,YQT,2025-10-19T14:10:00Z,2025-10-19T14:16:00Z,6,2025-10-19,19,Oct
Jazz Aviation,YQT,2025-05-25T20:45:00Z,2025-05-25T20:57:00Z,12,2025-05-25,25,May
Canadian North,YVR,2025-04-14T17:35:00Z,2025-04-14T17:47:00Z,12,2025-04-14,14,Apr
Flair Airlines,YVR,2025-05-06T10:05:00Z,2025-05-06T10:28:00Z,23,2025-05-06,6,May
Air Canada,YEG,2025-09-30T00:10:00Z,2025-09-30T00:36:00Z,26,2025-09-30,30,Sep
Flair Airlines,YHZ,2025-12-10T15:35:00Z,2025-12-10T16:05:00Z,30,2025-12-10,10,Dec
Air Canada,YWG,2025-07-26T17:55:00Z,2025-07-26T18:03:00Z,8,2025-07-26,26,Jul
Porter Airlines,YUL,2025-01-20T08:45:00Z,2025-01-20T09:08:00Z,23,2025-01-20,20,Jan
Air Canada,YEG,2025-10-17T19:50:00Z,2025-10-17T20:07:00Z,17,2025-10-17,17,Oct
Air Canada,YVR,2025-03-09T10:50:00Z,2025-03-09T11:06:00Z,16,2025-03-09,9,Mar
WestJet,YVR,2025-11-04T08:30:00Z,2025-11-04T08:47:00Z,17,2025-11-04,4,Nov
WestJet,YYZ,2025-03-15T15:30:00Z,2025-03-15T15:44:00Z,14,2025-03-15,15,Mar
WestJet,YYC,2025-12-20T14:50:00Z,2025-12-20T15:09:00Z,19,2025-12-20,20,Dec
WestJet,YVR,2025-03-26T14:35:00Z,2025-03-26T14:41:00Z,6,2025-03-26,26,Mar
Canadian North,YYZ,2025-05-11T22:40:00Z,2025-05-11T22:57:00Z,17,2025-05-11,11,May
Air Canada,YYZ,2025-07-07T08:45:00Z,2025-07-07T09:14:00Z,29,2025-07-07,7,Jul
WestJet,YUL,2025-09-26T09:25:00Z,2025-09-26T09:31:00Z,6,2025-09-26,26,Sep
Air Canada,YVR,2025-08-02T10:00:00Z,2025-08-02T10:20:00Z,20,2025-08-02,2,Aug
